Time,Ulasan,Fake,Not Fake
17/10/2020 8:51,Terima Kasih Barangnya Sudah sampai pengiriman cepat,yes,no
02/11/2020 6:17,barang original kualitas produk baik banget tidak menyesal  beli disini harga bersahabat banget ,yes,no
01/12/2020 6:51,"Pesanan sudah sampai. Produk sesuai dengan deskripsi. Kualitas bagus. Pengiriman cepat. Seller ramah. Terima kasih Shopee.
Pesanan sudah sampai. Produk sesuai dengan deskripsi. Kualitas bagus. Pengiriman cepat. Seller ramah. Terima kasih Shopee.
SAYANG, PACKING PARAH BANGET.",yes,no
09/12/2020 18:16,Kualitas produk sangat baik. Harga produk sangat baik. Produk original. Kecepatan pengiriman sangat baik.,yes,no
15/12/2020 9:35,Kualitas cukup bagus sekali pakai panci langsung warna coklat Packing kurang rapi. Kurir ramah Jangan lupa SUBSCRIBE : ASSASSIN X TREME IG : AKTA_880,yes,no
09/01/2021 20:41,Maaf bosku baru sempat kasih ulasannya Buat sahabat semua jangan ragu untuk belanja disini barang Ori dan seller cepat responsnya.. Kurir ramah sudah langganan mengantar,yes,no
24/01/2021 11:08,Mantap betul sangat cepat respons,yes,no
27/02/2021 12:55,INI BAGUS BanGeT PARAH tidak meNYESaL WORK IT DenGaN HARGA SEGINI POKOknya  HARUS banget BELI!!!! KAMAR JADI ENAK DILIhAT 😭😭🤍🤍 PENGIRIMAN JUGA CEPaT banget *itu tidak terlalu kelihatan soal ada cahaya matahari,yes,no
25/04/2021 4:12,Bagus banget barangnya juga keren aku suka banget recommended banget,yes,no
04/05/2021 3:35,"Barangnya asli bagus banget, produknya ori, hanya untuk pengiriman lama banget, tapi kalau produknya dijamin 100% tidak menyesal beli sumpah keren parah. 👍👍",yes,no
06/05/2021 22:00,Sebagus itu  sepatunya .jangan ragu  beli di toko ini ..barang benar  sesuai gambar 😍,yes,no
21/05/2021 17:06,Kualitas bagus sol empuk banget dari bahan karet jadi lebih berat dari yang spons overall oke  recommended buat jalan Kualitas bagus sol empuk banget dari bahan karet jadi lebih berat dari yang spons overall oke recommended buat jalan Kualitas bagus sole empuk banget dari bahan karet jadi,yes,no
18/07/2021 12:37,"Bagus
 Ada harga kualitasnya juga oke bagus",yes,no
24/08/2021 12:10,"Barangnya sesuai dan bagus banget puas jadinya 
 Barangnya sesuai dan bagus banget puas jadinya 
 Barangnya sesuai dan bagus banget puas jadinya 
 Barangnya sesuai dan bagus banget puas jadinya",yes,no
13/09/2021 9:39,Oke barang dan harga sesuai pengiman juga cepat ukuran semua pas semoga jadi langganan ya terimakasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih,yes,no
16/09/2021 15:37,"Bagus, harga bagus, kualitas juga bagus, sayang kurirnya hanya satu di wilayah kami, JaDi pengiriman sangat lambat, karena harus bagi wilayah,",yes,no
05/10/2021 21:37,"oke semuanya
oke semuanya
bahan
model
warna
kurir",yes,no
08/10/2021 12:12,"Kualitas: bagus banget
 Harga: worth it
 tidak menyesal  beli disini pas dicoba di kamar gila bagus banget , tidur bakalan nyenyak  😂",yes,no
07/07/2021 20:04,"tidak tahu lagi mana sampainya cepat, bagus banget sudah ingin beli dari lama cari” tahunya jatuh hati di ollshop ini 😍 trusted guys!! langsung  checkout  😌 mana lagi ppkm cepat banget sampainya gila love banget sama servicenya!!! waktu siang checkout langsung di proses  🥺❤️❤️ sukses terus ya!",yes,no
18/07/2021 12:37,"Bagus
 Ada harga kualitasnya juga oke bagus",yes,no
10/10/2021 18:29,Tipis sekali kakak.. 😁😁,yes,no
2021-10-13 20:29,Tipis😌,yes,no
02/11/2021 22:17,bagus murah banget dan free ongkir keren banget recommended banget dan awet yakin,yes,no
19/11/2021 15:09,Harga menentukan kualitas,yes,no
30/11/2021 11:03,"Barang bagus....
Daun. Daun merupakan salah satu bagian dari tumbuhan yang sangat penting.",yes,no
05/12/2021 21:50," 😭😭 tidak paham lagi ini sepatunya benar² ori dan bagus banget 😭💙 pokoknya next bakal order lagi 
 tidak bakal menyesal pokoknya
 RECOMMENDED banget HARUS BELI DI SINI 💙🔥",yes,no
15/12/2021 10:47,Harga: Lumayan Bahan Material: lumayan Pengemasan: kardusnya + bubblewrap per produk Lumayan Lumayan Lumayan Lumayan Lumayan Lumayan Lumayan Lumayan,yes,no
27/12/2021 16:17,"Kualitas: mantap bosque
 Harga: diskon bosque (173k)
 Daya listrik: kecil bosque 5 volt 2 amper
ketika saya lagi sendok itu es kemulut, itu ngilunya. Saya langsung kehilangan moment kebersamaan sama sahabat saya. Dokter sarankan ""coba ibu pakai sensodyne khusus untuk gigi yang sensitif",yes,no
08/01/2022 21:05,Sesuai pesanannya kiriman oke dan aman Packing juga rapi dan bersih,yes,no
11/01/2022 18:58,"Ada harga ada kualitas, harga murah ya hanya pasrah saja 😁",yes,no
15/01/2022 19:09,"Kualitas: Baik
 Harga: Sesuai
 Daya listrik: Standart
 Bagus sangat berguna buat aku yang suka malas gerak di kamar, jadi tambah betah di kamar😁",yes,no
31/01/2022 18:22,"Alhamdulillah
suDah sampai pesanannya
Semoga bermanfaat
 terima kasih",yes,no
08/02/2022 17:13,Barang sudah tiba dengan selamat terima kasih,yes,no
09/02/2022 15:35,"Harga produk baik
Kualitas produk baik
Kecepatan pengiriman baik
Terima kasih terima kasih",yes,no
22/02/2022 14:59,"Kualitas produk bagus. Produk original, harganya juga tidak mahal banget, kecepatan pengirimannya juga bagus. 
Rasulullah SAW bersabda bermaksud: "" Siapa yang melabuhkan pakaiannya karena perasaan sombong,  Allah SWT tidak akan memandangnya pada hari kiamat."" Dalam hadis lain.",yes,no
03/03/2022 8:07,Barang bagus sangat bagus rekomendasi harga murah aye paye oke oce ajalajann,yes,no
12/03/2022 17:22,Produk sangat ori pokoknya suka banget. Pengiriman cepat Next order lagi,yes,no
15/03/2022 10:03,Pengiriman cepat produknya bagus dan murah mantap pokoknya bagus,yes,no
20/03/2022 11:29,"tidak sangka sepatunya sekeren ini, pokoknya puas banget belanja di toko ini, yang belum checkout mendingan tidak usah ragu, tokonya amanah banget.",yes,no
30/03/2022 14:17,"Bagus banget pokoknya mah .. 
 Nyaman pisan .. 
 Pas banget .. 
 Bahannya bagus .. 
 Warnanya cantik cantik .. 
 Pokoknya good ",yes,no
10/04/2022 16:04,"Rekommended banget nih buat temen2 jangan ragu untuk beli disini yah ,pokoknya keren banget semoga awet sepatunya..
 Top markotop pokoknya
 
 sUdah itu pengirimannya cepat banget hanya sehari guys",yes,no
24/04/2022 2:37,"Alhamdulillah sudah sampai..... 
 Bagus banget... tidak mengecewakan buat kalian yang mau beli…",yes,no
25/04/2022 18:04,"Barangnya datangnya cepat dan bagus pokoknya, tidak menyesal beli ini",yes,no
30/04/2022 20:46,suka banget sama sepatunya bagus sesuai ekspektasi banget next bakal beli disini lagi,yes,no
15/05/2022 11:01,Satu kata..   KECEWA,yes,no
20/05/2022 10:00,"Kualitas produk sangat baik, produk original, cantik lucu memuaskan, terima kasih kak semoga sukses 🤲🥰",yes,no
18/07/2022 8:17,"Real picture sekali, dan worth to buy, pengiriman juga cepat banget, memuaskan  pokoknya😆",yes,no
18/07/2022 15:51,"Tampilan: Keren
 Warna: Mantap betul
 Keren. sUdah 2 kali beli disini barangnya bagus banget. tidak menyesal. Recommended beli disini tidak  mengecewakan",yes,no
18/07/2022 22:17,Tidak ada merek,yes,no
21/07/2022 16:36,"Sumpah gila bagus banget sepatunya, semoga awet",yes,no
22/07/2022 17:47,"Tampilan: keren
 Warna: bagus
 Pas, sesuai, cocok, seller ramah dan friendly banget
 pengiriman juga cepat banget by shopee express",yes,no
26/07/2022 18:00,"Pertama kali beli di toko ini ternyata hasilnya memuaskan dan sepatunya bagus banget dong
 Next beli bakalan beli lagi",yes,no
27/07/2022 15:28,"tampilan: baik
 Performa: semoga tahan lama
 Kualitas: baik
 suka banget, keracunan tiktok akhirnya bisa beli, semoga awet dan tahan lama",yes,no
28/07/2022 11:46,"Tampilan: bagus banget dengan harga yang super murah
 Kualitas: oke bakal order lagi
 Cocok Untuk: hiasan dinding",yes,no
28/07/2022 18:32,"Keren, bagus banget pokoknya tidak menyesal dengan harga yang di bayarkan tidak perlu ditannya lagi bagus banget Mantap betul.. pengiriman cepat sekali hanya 1 hari sampai",yes,no
04/08/2022 11:11,"Mantap, pengiriman cepat, fast respons, kualitas bagus, harga bersaing. Pokoknya good job. Semoga makin sukses dan berkah. Good luck.",yes,no
06/08/2022 9:25,"Tampilan: Sesuai dengan gambar
 Warna: Sesuai dengan yang ada digambar
 Produknya mantap benar, kualitas ini mah bagus, menemukan sepatu dengan harga bersahabat, dengan kualitas yang bagus..
 Di toko"" offline mana ada sepatu dengan kualitas yang bagus dengan harga dibawah 200 ribu, tapi ini harga dibawah 200 ribu tapi berani dengan produk dan kualitas bagus.. mantap dah pokoknya.. next order lagi",yes,no
